work_year,job_title,job_category,salary_in_usd,experience_level,company_location
2023,Machine Learning Engineer,Machine Learning and AI,262000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,186000,Senior,United States
2023,Data Analyst,Data Analysis,129000,Senior,Canada
2023,Data Analyst,Data Analysis,95000,Senior,Canada
2023,Analytics Engineer,Leadership and Management,175000,Senior,United States
2023,Analytics Engineer,Leadership and Management,120000,Senior,United States
2023,Applied Data Scientist,Data Science and Research,29691,Entry-level,Italy
2023,Data Analyst,Data Analysis,130000,Senior,United States
2023,Data Analyst,Data Analysis,105000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,232200,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,119000,Senior,United States
2023,Data Scientist,Data Science and Research,268000,Senior,United States
2023,Data Analyst,Data Analysis,153300,Senior,United States
2023,Data Analyst,Data Analysis,104244,Senior,United States
2023,Data Scientist,Data Science and Research,145000,Senior,United States
2023,Data Scientist,Data Science and Research,226000,Senior,United States
2023,Data Analyst,Data Analysis,70000,Mid-level,United States
2023,Data Science Practitioner,Data Science and Research,198800,Senior,United States
2023,Data Science Practitioner,Data Science and Research,122600,Senior,United States
2023,Data Scientist,Data Science and Research,181500,Senior,United States
2023,Data Scientist,Data Science and Research,127000,Senior,United States
2023,Machine Learning Researcher,Machine Learning and AI,210000,Mid-level,United States
2023,AI Programmer,Machine Learning and AI,120000,Senior,France
2023,ML Engineer,Machine Learning and AI,385000,Senior,United States
2023,ML Engineer,Machine Learning and AI,245000,Senior,United States
2023,AI Engineer,Machine Learning and AI,225000,Mid-level,United States
2023,AI Engineer,Machine Learning and AI,175000,Mid-level,United States
2023,Data Engineer,Data Engineering,110019,Senior,Canada
2023,Data Engineer,Data Engineering,86682,Senior,Canada
2023,Data Analyst,Data Analysis,131650,Senior,United States
2023,Data Analyst,Data Analysis,105320,Senior,United States
2023,Research Engineer,Data Science and Research,210000,Senior,United States
2023,Research Engineer,Data Science and Research,151800,Senior,United States
2023,Data Scientist,Data Science and Research,147500,Senior,United States
2023,Data Scientist,Data Science and Research,112500,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,163200,Senior,United States
2023,Data Analyst,Data Analysis,65000,Senior,United States
2023,Data Analyst,Data Analysis,55000,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,165400,Senior,United States
2023,Machine Learning Infrastructure Engineer,Machine Learning and AI,127300,Senior,United States
2023,Data Science Manager,Data Science and Research,107968,Senior,Czech Republic
2023,AI Engineer,Machine Learning and AI,32811,Mid-level,Spain
2023,Machine Learning Engineer,Machine Learning and AI,145000,Mid-level,United States
2023,Machine Learning Engineer,Machine Learning and AI,135000,Mid-level,United States
2023,Data Scientist,Data Science and Research,126900,Mid-level,United States
2023,Data Scientist,Data Science and Research,77900,Mid-level,United States
2023,Data Engineer,Data Engineering,110736,Mid-level,United Kingdom
2023,Data Engineer,Data Engineering,92280,Mid-level,United Kingdom
2023,Data Analyst,Data Analysis,169000,Senior,United States
2023,Data Analyst,Data Analysis,110600,Senior,United States
2023,Data Scientist,Data Science and Research,150000,Entry-level,United States
2023,Data Scientist,Data Science and Research,140000,Entry-level,United States
2023,Data Scientist,Data Science and Research,162000,Senior,United States
2023,Data Modeler,Data Architecture and Modeling,195000,Senior,United States
2023,Data Modeler,Data Architecture and Modeling,160000,Senior,United States
2023,Data Operations Analyst,Data Quality and Operations,154000,Senior,United States
2023,Data Operations Analyst,Data Quality and Operations,82000,Senior,United States
2023,Data Science Manager,Data Science and Research,160000,Senior,United States
2023,Data Science Manager,Data Science and Research,145000,Senior,United States
2023,AI Engineer,Machine Learning and AI,239400,Senior,United States
2023,AI Engineer,Machine Learning and AI,136800,Senior,United States
2023,Decision Scientist,Data Science and Research,204500,Senior,United States
2023,Decision Scientist,Data Science and Research,142200,Senior,United States
2023,Data Scientist,Data Science and Research,230000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,323300,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,184700,Senior,United States
2023,Data Engineer,Data Engineering,120000,Senior,United States
2023,Research Scientist,Data Science and Research,210000,Senior,United States
2023,Research Scientist,Data Science and Research,136000,Senior,United States
2023,Data Engineer,Data Engineering,171250,Senior,United States
2023,Data Engineer,Data Engineering,113750,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,195000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,142000,Senior,United States
2023,Data Engineer,Data Engineering,185900,Mid-level,United States
2023,Data Engineer,Data Engineering,129300,Mid-level,United States
2023,Machine Learning Engineer,Machine Learning and AI,194100,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,152300,Senior,United States
2023,Data Architect,Data Architecture and Modeling,190000,Senior,United States
2023,Data Architect,Data Architecture and Modeling,120000,Senior,United States
2023,Research Engineer,Data Science and Research,240000,Senior,United States
2023,Research Engineer,Data Science and Research,157250,Senior,United States
2023,Data Engineer,Data Engineering,212000,Senior,United States
2023,Data Engineer,Data Engineering,194400,Senior,United States
2023,Data Engineer,Data Engineering,132192,Senior,United States
2023,Analytics Engineer,Leadership and Management,174000,Senior,United States
2023,Analytics Engineer,Leadership and Management,134000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,38868,Mid-level,Spain
2023,Data Engineer,Data Engineering,152000,Mid-level,United States
2023,Data Developer,Leadership and Management,144700,Senior,United States
2023,Data Developer,Leadership and Management,85500,Senior,United States
2023,Data Analyst,Data Analysis,38868,Mid-level,Estonia
2023,Data Engineer,Data Engineering,265800,Executive,United States
2023,Data Engineer,Data Engineering,177200,Executive,United States
2023,Data Scientist,Data Science and Research,222000,Senior,United States
2023,Data Scientist,Data Science and Research,115920,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,250000,Senior,United States
